film,festival,year,section,recognition_type,original_text,source_url,status,reason
Unicorn Wars,45th Annecy International Animation Film Festival,2022,official competition,official_selection,The project was showcased in a 'Work in Progress' panel of the 45th Annecy International Animation Film Festival,https://en.wikipedia.org/wiki/Unicorn_Wars,candidate_needs_review,"Wikipedia supplied the only located evidence; awaiting official festival archive, film site, distributor page, or press kit."
Unicorn Wars,46th Annecy International Animation Film Festival,2022,official competition,official_selection,"The film was presented at the 46th Annecy International Animation Film Festival on 16 June 2022, as part of the festival's official competition",https://en.wikipedia.org/wiki/Unicorn_Wars,candidate_needs_review,"Wikipedia supplied the only located evidence; awaiting official festival archive, film site, distributor page, or press kit."
